Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,"Crime, Drama, Thriller            ","['Stars:', 'Thumindu Dodantenne, ', 'Kalana Gunasekara, ', 'Andrew Pulle, ', 'Yureni Noshika']",20
The Filthy Frank Show,9.8,"Short, Comedy, Fantasy            ","['Stars:', ""George 'Joji' Miller, "", 'Artemis Holdenberry, ', 'Zeeq, ', 'Bloody Hairy']",12
Game of Thrones,9.5,"Action, Adventure, Drama            ","['Stars:', 'Emilia Clarke, ', 'Peter Dinklage, ', 'Kit Harington, ', 'Lena Headey']",57
Breaking Bad,9.5,"Crime, Drama, Thriller            ","['Stars:', 'Bryan Cranston, ', 'Aaron Paul, ', 'Anna Gunn, ', 'Betsy Brandt']",49
Rick and Morty,9.3,"Animation, Adventure, Comedy            ","['Stars:', 'Justin Roiland, ', 'Chris Parnell, ', 'Spencer Grammer, ', 'Sarah Chalke']",23
The Wire,9.3,"Crime, Drama, Thriller            ","['Stars:', 'Dominic West, ', 'Lance Reddick, ', 'Sonja Sohn, ', 'Wendell Pierce']",59
TVF Pitchers,9.3,"Comedy, Drama            ","['Stars:', 'Arunabh Kumar, ', 'Naveen Kasturia, ', 'Jitendra Kumar, ', 'Abhay Mahajan']",40
Sherlock,9.2,"Crime, Drama, Mystery            ","['Stars:', 'Benedict Cumberbatch, ', 'Martin Freeman, ', 'Una Stubbs, ', 'Rupert Graves']",88
The Sopranos,9.2,"Crime, Drama            ","['Stars:', 'James Gandolfini, ', 'Lorraine Bracco, ', 'Edie Falco, ', 'Michael Imperioli']",55
Avatar: The Last Airbender,9.2,"Animation, Action, Adventure            ","['Stars:', 'Dee Bradley Baker, ', 'Zach Tyler, ', 'Mae Whitman, ', 'Jack De Sena']",23
The World at War,9.2,"Documentary, History, War            ","['Stars:', 'Laurence Olivier, ', 'Anthony Eden, ', 'Averell Harriman, ', 'Albert Speer']",52
Leyla ile Mecnun,9.2,"Adventure, Comedy, Drama            ","['Stars:', 'Ali Atay, ', 'Cengiz Bozkurt, ', 'Serkan Keskin, ', 'Osman Sonant']",80
O Mecanismo,9.1,"Crime, Drama, Thriller            ","['Stars:', 'Caroline Abras, ', 'Enrique Diaz, ', 'Jonathan Haagensen, ', 'Selton Mello']",41
Firefly,9.1,"Adventure, Drama, Sci-Fi            ","['Stars:', 'Nathan Fillion, ', 'Gina Torres, ', 'Alan Tudyk, ', 'Morena Baccarin']",44
Hagane no renkinjutsushi,9.1,"Animation, Action, Adventure            ","['Stars:', 'Iemasa Kayumi, ', 'Kent Williams, ', 'Muriel Hofmann, ', 'Lili Troncale']",24
Fargo,9.0,"Crime, Drama, Thriller            ","['Stars:', 'Billy Bob Thornton, ', 'Martin Freeman, ', 'Allison Tolman, ', 'Colin Hanks']",53
True Detective,9.0,"Crime, Drama, Mystery            ","['Stars:', 'Vince Vaughn, ', 'Colin Farrell, ', 'Rachel McAdams, ', 'Taylor Kitsch']",55
One Punch Man: Wanpanman,9.0,"Animation, Action, Comedy            ","['Stars:', 'Makoto Furukawa, ', 'Max Mittelman, ', 'Kaito Ishikawa, ', 'Zach Aguilar']",24
The Twilight Zone,9.0,"Fantasy, Horror, Mystery            ","['Stars:', 'Rod Serling, ', 'Robert McCord, ', 'Jay Overholts, ', 'Vaughn Taylor']",51
Last Week Tonight with John Oliver,9.0,"Comedy, News, Talk-Show            ","['Stars:', 'John Oliver, ', 'David Kaye, ', 'Noel MacNeal, ', 'Alberto Bonilla']",30
Death Note: Desu nôto,9.0,"Animation, Crime, Drama            ","['Stars:', 'Mamoru Miyano, ', 'Brad Swaile, ', 'Vincent Tong, ', 'Ryô Naitô']",24
Batman: The Animated Series,9.0,"Animation, Action, Adventure            ","['Stars:', 'Kevin Conroy, ', 'Loren Lester, ', 'Efrem Zimbalist Jr., ', 'Robert Hastings']",23
Westworld,8.9,"Drama, Mystery, Sci-Fi            ","['Stars:', 'Evan Rachel Wood, ', 'Jeffrey Wright, ', 'Ed Harris, ', 'Thandie Newton']",62
Black Mirror,8.9,"Drama, Sci-Fi, Thriller            ","['Stars:', 'Daniel Lapaine, ', 'Hannah John-Kamen, ', 'Michaela Coel, ', 'Beatrice Robertson-Jones']",60
Stranger Things,8.9,"Drama, Fantasy, Horror            ","['Stars:', 'Millie Bobby Brown, ', 'Finn Wolfhard, ', 'Winona Ryder, ', 'David Harbour']",51
Friends,8.9,"Comedy, Romance            ","['Stars:', 'Jennifer Aniston, ', 'Courteney Cox, ', 'Lisa Kudrow, ', 'Matt LeBlanc']",22
Narcos,8.9,"Biography, Crime, Drama            ","['Stars:', 'Pedro Pascal, ', 'Wagner Moura, ', 'Boyd Holbrook, ', 'Alberto Ammann']",49
House of Cards,8.9,Drama            ,"['Stars:', 'Kevin Spacey, ', 'Michel Gill, ', 'Robin Wright, ', 'Kate Mara']",51
Seinfeld,8.9,Comedy            ,"['Stars:', 'Jerry Seinfeld, ', 'Julia Louis-Dreyfus, ', 'Michael Richards, ', 'Jason Alexander']",22
Arrested Development,8.9,Comedy            ,"['Stars:', 'Jason Bateman, ', 'Michael Cera, ', 'Portia de Rossi, ', 'Will Arnett']",22
Gravity Falls,8.9,"Animation, Adventure, Comedy            ","['Stars:', 'Jason Ritter, ', 'Alex Hirsch, ', 'Kristen Schaal, ', 'Linda Cardellini']",23
Only Fools and Horses....,8.9,Comedy            ,"['Stars:', 'David Jason, ', 'Nicholas Lyndhurst, ', 'Roger Lloyd Pack, ', 'Buster Merryfield']",95
Kaubôi bibappu,8.9,"Animation, Action, Adventure            ","['Stars:', 'Kôichi Yamadera, ', 'Unshô Ishizuka, ', 'Megumi Hayashibara, ', 'Steve Blum']",24
Monty Python's Flying Circus,8.9,Comedy            ,"['Stars:', 'Graham Chapman, ', 'John Cleese, ', 'Terry Gilliam, ', 'Eric Idle']",30
Pod prikritie,8.9,"Action, Crime, Drama            ","['Stars:', 'Ivaylo Zahariev, ', 'Zachary Baharov, ', 'Vladimir Penev, ', 'Marian Valev']",60
The Office,8.8,Comedy            ,"['Stars:', 'Steve Carell, ', 'Jenna Fischer, ', 'John Krasinski, ', 'Rainn Wilson']",22
La casa de papel,8.8,"Action, Crime, Mystery            ","['Stars:', 'Úrsula Corberó, ', 'Itziar Ituño, ', 'Álvaro Morte, ', 'Paco Tous']",70
This Is Us,8.8,Drama            ,"['Stars:', 'Milo Ventimiglia, ', 'Mandy Moore, ', 'Sterling K. Brown, ', 'Chrissy Metz']",45
Peaky Blinders,8.8,"Crime, Drama            ","['Stars:', 'Cillian Murphy, ', 'Paul Anderson, ', 'Helen McCrory, ', 'Sophie Rundle']",60
It's Always Sunny in Philadelphia,8.8,Comedy            ,"['Stars:', 'Charlie Day, ', 'Glenn Howerton, ', 'Rob McElhenney, ', 'Kaitlin Olson']",22
House M.D.,8.8,"Drama, Mystery            ","['Stars:', 'Hugh Laurie, ', 'Omar Epps, ', 'Robert Sean Leonard, ', 'Jesse Spencer']",44
The Simpsons,8.8,"Animation, Comedy            ","['Stars:', 'Dan Castellaneta, ', 'Nancy Cartwright, ', 'Julie Kavner, ', 'Yeardley Smith']",22
The Marvelous Mrs. Maisel,8.8,"Comedy, Drama            ","['Stars:', 'Rachel Brosnahan, ', 'Alex Borstein, ', 'Michael Zegen, ', 'Marin Hinkle']",57
The West Wing,8.8,Drama            ,"['Stars:', 'Martin Sheen, ', 'Rob Lowe, ', 'Allison Janney, ', 'John Spencer']",44
Twin Peaks,8.8,"Crime, Drama, Mystery            ","['Stars:', 'Kyle MacLachlan, ', 'Michael Ontkean, ', 'Mädchen Amick, ', 'Dana Ashbrook']",47
Shingeki no kyojin,8.8,"Animation, Action, Adventure            ","['Stars:', 'Yûki Kaji, ', 'Marina Inoue, ', 'Josh Grelle, ', 'Bryce Papenbrook']",24
Rome,8.8,"Action, Drama, History            ","['Stars:', 'Kevin McKidd, ', 'Ray Stevenson, ', 'Polly Walker, ', 'Kerry Condon']",90
Freaks and Geeks,8.8,"Comedy, Drama            ","['Stars:', 'Linda Cardellini, ', 'John Francis Daley, ', 'James Franco, ', 'Samm Levine']",44
Oz,8.8,"Crime, Drama, Thriller            ","['Stars:', 'Ernie Hudson, ', 'J.K. Simmons, ', 'Lee Tergesen, ', 'Dean Winters']",55
Skam,8.8,"Drama, Romance            ","['Stars:', 'Josefine Frida Pettersen, ', 'Iman Meskini, ', 'Ulrikke Falch, ', 'Lisa Teige']",30
