id,name,less,school,college,bachelor
00000,United States,13.0,27.5,29.1,30.3
01000,Alabama,15.2,31.0,29.8,24.0
01001,Autauga County,12.4,34.3,28.7,24.6
01003,Baldwin County,10.0,28.7,31.8,29.5
01005,Barbour County,26.2,34.9,26.0,12.9
01007,Bibb County,19.3,41.8,26.9,12.0
01009,Blount County,20.0,32.9,34.0,13.1
01011,Bullock County,33.4,34.1,22.2,10.3
01013,Butler County,18.9,39.9,25.1,16.1
01015,Calhoun County,17.7,32.1,32.6,17.7
01017,Chambers County,19.7,39.4,28.4,12.5
01019,Cherokee County,18.7,36.0,31.4,14.0
01021,Chilton County,19.9,41.3,24.0,14.9
01023,Choctaw County,21.1,37.3,29.6,12.0
01025,Clarke County,19.0,45.1,23.8,12.1
01027,Clay County,25.4,34.6,29.0,11.1
01029,Cleburne County,25.8,38.0,24.7,11.5
01031,Coffee County,14.9,29.3,32.1,23.7
01033,Colbert County,16.6,34.8,30.1,18.5
01035,Conecuh County,20.6,46.2,24.6,8.7
01037,Coosa County,27.1,36.3,26.7,9.9
01039,Covington County,19.1,34.4,31.6,14.9
01041,Crenshaw County,21.7,38.5,25.1,14.6
01043,Cullman County,17.8,35.1,32.1,15.0
01045,Dale County,14.2,33.1,36.7,16.1
01047,Dallas County,21.0,36.5,28.8,13.8
01049,DeKalb County,27.4,34.3,27.0,11.4
01051,Elmore County,13.2,35.4,29.1,22.2
01053,Escambia County,19.5,43.4,25.4,11.6
01055,Etowah County,17.5,32.5,33.4,16.5
01057,Fayette County,20.8,39.0,26.0,14.1
01059,Franklin County,24.3,36.7,26.6,12.4
01061,Geneva County,22.3,36.0,30.1,11.7
01063,Greene County,23.1,41.0,26.0,10.0
01065,Hale County,18.6,42.8,24.6,14.0
01067,Henry County,19.3,36.1,28.4,16.1
01069,Houston County,15.1,32.1,31.8,21.0
01071,Jackson County,20.5,41.1,25.8,12.6
01073,Jefferson County,11.0,26.5,31.1,31.4
01075,Lamar County,22.6,35.4,29.0,13.1
01077,Lauderdale County,15.1,34.6,28.6,21.7
01079,Lawrence County,22.5,39.9,27.4,10.3
01081,Lee County,11.3,24.5,29.8,34.4
01083,Limestone County,16.8,32.0,27.9,23.3
01085,Lowndes County,25.2,37.7,24.9,12.3
01087,Macon County,19.5,31.2,29.2,20.0
01089,Madison County,9.2,20.9,29.2,40.7
01091,Marengo County,16.1,40.2,28.8,14.8
01093,Marion County,20.1,35.0,32.5,12.5
01095,Marshall County,21.4,31.9,30.1,16.6
01097,Mobile County,14.2,32.6,30.7,22.5
01099,Monroe County,18.0,45.1,24.6,12.4
01101,Montgomery County,14.5,25.4,28.7,31.5
01103,Morgan County,17.5,30.1,31.0,21.4
01105,Perry County,23.6,39.5,22.4,14.5
01107,Pickens County,18.9,39.9,30.1,11.1
01109,Pike County,20.0,32.7,23.3,24.0
01111,Randolph County,22.7,36.4,25.5,15.4
01113,Russell County,17.4,31.2,34.4,17.0
01115,St. Clair County,16.5,36.1,31.3,16.1
01117,Shelby County,8.4,21.0,29.1,41.4
01119,Sumter County,20.0,41.6,20.3,18.1
01121,Talladega County,20.2,35.7,31.0,13.1
01123,Tallapoosa County,20.4,35.3,27.0,17.3
01125,Tuscaloosa County,11.9,30.3,28.4,29.4
01127,Walker County,21.4,36.6,31.4,10.5
01129,Washington County,20.3,45.8,24.3,9.6
01131,Wilcox County,20.1,44.9,23.6,11.3
01133,Winston County,24.0,34.3,28.6,13.1
02000,Alaska,7.7,27.7,35.8,28.8
02010,Aleutian Islands,,,,
02013,Aleutians East Borough,15.6,42.0,30.4,11.9
02016,Aleutians West Census Area,12.5,40.3,31.5,15.7
02020,Anchorage Municipality,6.7,24.0,35.0,34.3
02050,Bethel Census Area,19.1,45.4,24.1,11.4
02060,Bristol Bay Borough,7.4,34.8,38.7,19.1
02068,Denali Borough,3.8,23.4,34.3,38.5
02070,Dillingham Census Area,13.2,36.9,32.4,17.6
02090,Fairbanks North Star Borough,5.6,22.2,38.8,33.4
02100,Haines Borough,4.5,25.7,29.3,40.4
02105,Hoonah-Angoon Census Area,9.4,33.9,32.4,24.3
02110,Juneau City and Borough,4.4,21.2,35.0,39.4
02122,Kenai Peninsula Borough,7.3,32.2,36.9,23.7
02130,Ketchikan Gateway Borough,8.0,31.7,36.5,23.8
02150,Kodiak Island Borough,9.3,27.3,38.5,24.9
02158,Kusilvak Census Area,21.6,52.2,21.4,4.8
02160,Kuskokwim Division,,,,
02164,Lake and Peninsula Borough,13.7,42.5,31.4,12.5
02170,Matanuska-Susitna Borough,7.6,31.8,40.0,20.6
02180,Nome Census Area,15.1,43.1,27.9,13.9
02185,North Slope Borough,11.6,37.8,36.3,14.2
02188,Northwest Arctic Borough,20.9,45.0,23.4,10.8
02195,Petersburg Census Area,7.6,33.7,33.7,25.0
02198,Prince of Wales-Hyder Census Area,9.5,39.1,35.6,15.8
02201,Prince of Wales-Outer Ketchikan Census Area,,,,
02220,Sitka City and Borough,7.4,25.7,34.6,32.4
02230,Skagway Municipality,3.5,24.9,37.9,33.7
02231,Skagway-Yakutat-Angoon Census Area,,,,
02232,Skagway-Hoonah-Angoon Census Area,,,,
02240,Southeast Fairbanks Census Area,9.3,33.4,38.1,19.2
02250,Upper Yukon Division,,,,
02261,Valdez-Cordova Census Area,7.2,27.3,35.4,30.1
02275,Wrangell City and Borough,11.9,34.3,33.6,20.3
02280,Wrangell-Petersburg Census Area,,,,
02282,Yakutat City and Borough,5.5,40.8,33.9,19.7
02290,Yukon-Koyukuk Census Area,17.1,39.9,30.7,12.3
04000,Arizona,13.8,24.3,34.0,28.0
04001,Apache County,21.8,33.5,33.7,11.1
04003,Cochise County,13.4,23.2,40.2,23.2
04005,Coconino County,11.1,21.6,33.1,34.2
04007,Gila County,15.7,28.7,37.9,17.7
04009,Graham County,14.6,32.9,39.2,13.3
04011,Greenlee County,12.1,36.8,38.9,12.2
04012,La Paz County,24.8,36.4,28.3,10.4
04013,Maricopa County,13.1,22.9,33.0,31.0
04015,Mohave County,16.1,36.0,36.0,11.9
04017,Navajo County,18.5,30.3,36.7,14.5
04019,Pima County,12.3,22.6,34.4,30.8
04021,Pinal County,15.1,29.2,37.2,18.5
04023,Santa Cruz County,25.2,26.2,26.1,22.5
04025,Yavapai County,9.8,25.8,38.8,25.5
04027,Yuma County,28.3,25.6,31.8,14.4
05000,Arkansas,14.8,34.7,29.0,21.5
05001,Arkansas County,17.5,40.6,27.5,14.4
05003,Ashley County,16.1,39.7,30.6,13.6
05005,Baxter County,12.8,34.4,35.1,17.7
05007,Benton County,12.8,30.5,26.0,30.7
05009,Boone County,15.0,34.6,35.4,15.0
05011,Bradley County,20.1,41.5,24.2,14.2
05013,Calhoun County,16.8,49.6,21.6,12.0
05015,Carroll County,16.2,34.9,31.2,17.7
05017,Chicot County,19.9,42.0,24.9,13.1
05019,Clark County,13.5,30.9,30.9,24.7
05021,Clay County,20.9,42.4,25.4,11.3
